name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,timeSignature
Homemade,0.396,0.51,0.838,0.0,0.195,-2.702,0.0469,145.922,0.574,4
You're Gonna Miss This,0.0237,0.5,0.665,6.41e-05,0.0994,-7.157,0.0355,154.997,0.32,4
Watching You,0.105,0.625,0.848,0.0,0.23,-4.008,0.0314,137.993,0.716,4
What I Almost Was,0.0117,0.546,0.863,0.0,0.269,-6.812,0.0458,112.074,0.596,4
Deeper Than the Holler,0.29,0.647,0.482,0.0,0.232,-8.591,0.0262,142.648,0.437,4
Goin' Goin' Gone,0.04,0.635,0.844,1.27e-06,0.216,-5.16,0.0272,111.954,0.886,4
What Are You Listening To?,0.19,0.563,0.553,4.71e-05,0.0967,-8.501,0.0287,161.893,0.409,4
If I Could Do It Again,0.183,0.707,0.892,0.0,0.216,-5.19,0.0405,107.999,0.828,4
She Likes the Beatles,0.00429,0.209,0.593,0.0,0.212,-4.292,0.0324,82.246,0.34,4
She's Like Texas,0.582,0.501,0.523,0.0,0.122,-6.906,0.0324,156.108,0.24,4
Birds,0.0453,0.593,0.671,0.00397,0.205,-8.218,0.0325,111.926,0.387,4
21 Summer,0.0246,0.644,0.89,2.57e-05,0.103,-6.993,0.0332,112.027,0.619,4
Who You'd Be Today,0.149,0.646,0.431,0.000428,0.108,-9.287,0.029,145.855,0.248,4
White Trash Story,0.125,0.669,0.716,0.0,0.117,-6.651,0.038,91.972,0.773,4
Burning House,0.885,0.729,0.248,2e-05,0.116,-8.772,0.0317,140.904,0.43,4
Cold Beer Calling My Name,0.048,0.581,0.86,0.0,0.169,-4.092,0.039,148.318,0.79,4
Must've Never Met You,0.00951,0.455,0.892,0.0,0.143,-3.218,0.0564,75.218,0.641,4
One Of Them Girls,0.294,0.643,0.79,0.0,0.107,-6.079,0.0462,95.987,0.8,4
More Than My Hometown,0.601,0.621,0.882,0.0,0.132,-5.01,0.0459,126.014,0.574,4
Nothin' on You,0.566,0.358,0.358,0.000232,0.104,-7.18,0.0307,134.629,0.158,3
Friendship,0.728,0.68,0.334,0.000491,0.112,-11.375,0.0373,129.526,0.483,4
A Simple Song,0.87,0.611,0.198,0.000432,0.109,-16.525,0.0285,77.301,0.412,4
Gabrielle,0.0485,0.707,0.722,0.0,0.122,-6.722,0.0284,98.991,0.431,4
Crowd My Mind,0.742,0.522,0.359,0.0,0.108,-8.951,0.0272,109.141,0.233,3
Six Feet Apart,0.335,0.565,0.598,0.0,0.124,-5.894,0.0276,155.814,0.449,4
The Reason,0.265,0.323,0.717,0.0,0.206,-5.579,0.0614,67.994,0.479,4
Better Than Me - Acoustic,0.458,0.501,0.431,0.0,0.117,-7.284,0.037,79.995,0.524,4
Good Lord Lorrie,0.274,0.555,0.649,0.0,0.301,-6.756,0.0284,78.994,0.581,4
Ballad Of A Southern Man,0.432,0.605,0.53,0.0,0.095,-6.566,0.0261,73.986,0.38,1
What Kinda Gone,0.257,0.494,0.861,0.0,0.103,-5.236,0.0365,172.052,0.668,4
Boy,0.644,0.498,0.408,0.0,0.0993,-7.946,0.0331,78.942,0.383,4
Leaving Love Behind,0.889,0.47,0.258,0.0,0.0887,-6.994,0.0346,85.773,0.358,4
Beer Can’t Fix,0.0317,0.711,0.774,0.0,0.124,-4.068,0.0308,111.016,0.939,4
"SIGNED, SOBER YOU",0.594,0.536,0.445,0.0,0.0961,-7.967,0.0304,132.039,0.345,4
He Went To Jared (HARDY feat. Morgan Wallen),0.054,0.563,0.806,7.73e-06,0.204,-5.11,0.0474,140.075,0.68,4
I'm Gonna Miss Her,0.55,0.559,0.464,0.0,0.107,-9.687,0.0272,98.354,0.351,4
THROWBACK,0.217,0.621,0.706,0.0,0.109,-6.371,0.0341,124.076,0.521,4
"Redneck Tendencies (HARDY feat. Trace Adkins, Joe Diffie)",0.0237,0.641,0.746,0.0,0.103,-5.21,0.0316,122.002,0.816,4
"My Kinda Livin’ (HARDY feat. Hunter Phelps, Jameson Rodgers)",0.488,0.571,0.619,0.0,0.115,-5.879,0.0298,144.054,0.719,4
Somewhere That You Don't Go,0.00603,0.642,0.808,0.0,0.314,-5.576,0.0382,105.919,0.673,4
Matagorda Bay,0.439,0.763,0.545,0.0,0.131,-7.785,0.0289,115.003,0.543,4
Bottom Of The Fifth,0.202,0.535,0.899,0.0,0.135,-3.278,0.05,174.126,0.813,4
Here And Now,0.0477,0.52,0.841,0.0,0.25,-3.048,0.0524,147.963,0.705,4
Be A Light,0.0397,0.509,0.493,1.32e-06,0.102,-6.676,0.0266,97.846,0.264,4
Almost Maybes,0.146,0.582,0.868,0.0,0.103,-3.927,0.0522,90.105,0.555,4
WHERE TO FIND ME,0.137,0.594,0.812,0.0,0.276,-5.105,0.0404,127.983,0.811,4
God And Country Music,0.727,0.545,0.455,0.000197,0.117,-6.346,0.0282,146.818,0.309,3
Country Boy Things,0.0279,0.54,0.944,7.12e-05,0.325,-4.38,0.0724,116.028,0.451,4
Hole In A Bottle,0.047,0.686,0.796,0.0,0.156,-5.532,0.03,112.987,0.733,4
Whiskey Kinda Night,0.506,0.644,0.495,1.45e-05,0.132,-7.99,0.0243,103.01,0.164,4
Everywhere But On,0.0345,0.563,0.722,0.0,0.0795,-3.972,0.0279,149.903,0.309,4
BOOTS,0.181,0.544,0.871,0.0,0.0862,-3.831,0.0392,104.018,0.511,4
Phone Call to God,0.259,0.332,0.603,0.0,0.174,-7.133,0.0366,88.236,0.284,4
Sunshine & Whiskey,0.223,0.67,0.737,0.0,0.325,-6.794,0.0434,92.983,0.754,4
Wild World,0.0619,0.637,0.448,0.0,0.117,-9.087,0.0513,150.066,0.223,4
Runnin' Outta Moonlight,0.0354,0.526,0.801,3.17e-06,0.0637,-3.717,0.0393,172.024,0.769,4
Church Bells,0.226,0.575,0.844,0.0,0.0538,-1.772,0.0633,87.007,0.542,4
Before He Cheats,0.271,0.519,0.749,0.0,0.119,-3.318,0.0405,147.905,0.29,4
Honky Tonk Highway,0.0576,0.574,0.699,0.0,0.0932,-4.37,0.0427,131.958,0.421,4
Cover Me Up,0.236,0.525,0.437,7.03e-06,0.121,-8.285,0.0272,127.994,0.195,3
This Damn Song,0.193,0.647,0.472,0.0,0.269,-6.743,0.0323,120.187,0.166,4
Out There,0.0364,0.53,0.795,2.67e-06,0.142,-5.233,0.0339,153.984,0.516,4
Better Boat (feat. Mindy Smith),0.827,0.574,0.265,2.25e-05,0.133,-11.3,0.0302,143.808,0.394,4
Almost,0.0208,0.603,0.739,0.0,0.4,-6.173,0.0243,99.979,0.505,4
When The Stars Come Out,0.256,0.471,0.536,0.00113,0.0994,-9.678,0.0251,147.506,0.41,4
Unbreak a Heartache,0.00571,0.62,0.897,0.000254,0.101,-3.929,0.028,101.98,0.691,4
Hole In A Bottle,0.047,0.686,0.796,0.0,0.156,-5.532,0.03,112.987,0.733,4
The Life,0.57,0.797,0.53,0.000202,0.107,-8.876,0.025,101.953,0.722,4
Runnin' Block,0.345,0.584,0.755,7.72e-05,0.101,-7.31,0.042,103.995,0.642,5
Beautiful Eyes,0.000893,0.595,0.798,4.59e-06,0.333,-5.037,0.0337,140.023,0.7,4
Call Me Country,0.00227,0.498,0.784,8.03e-05,0.234,-4.58,0.0324,151.891,0.499,3
Lady May,0.881,0.539,0.16,0.000268,0.105,-13.285,0.0329,81.446,0.322,4
Good Day,0.0356,0.514,0.685,9.73e-06,0.157,-7.27,0.0307,85.017,0.393,4
Magnolia,0.0335,0.595,0.715,0.0,0.0729,-6.124,0.0337,83.015,0.677,4
The One I Loved Back Then,0.519,0.636,0.479,0.0,0.408,-11.555,0.0812,159.433,0.935,4
Alright,0.0527,0.601,0.806,0.0,0.185,-4.579,0.0345,89.87,0.711,4
Where the Heart Is,0.111,0.518,0.611,1.74e-05,0.109,-8.812,0.0317,87.116,0.257,4
Keep The Wolves Away,0.52,0.682,0.351,0.00059,0.11,-10.276,0.0318,122.207,0.144,4
Why We Drink,0.00824,0.624,0.903,0.0,0.309,-3.046,0.0347,116.99,0.724,4
The Man Who Loves You The Most,0.246,0.506,0.569,0.0,0.112,-6.761,0.0286,157.857,0.44,4
Nothing Compares 2 U,0.133,0.679,0.511,9.88e-06,0.669,-5.951,0.0353,126.001,0.371,4
7 Summers,0.431,0.625,0.775,5.23e-05,0.12,-5.199,0.0248,101.961,0.588,4
The Ones That Didn’t Make It Back Home,0.0979,0.537,0.784,0.0,0.224,-4.869,0.034,137.995,0.468,4
No Hurry,0.375,0.565,0.531,0.0,0.312,-5.809,0.0287,146.027,0.407,4
Real Men Love Jesus,0.00614,0.446,0.722,4.8e-05,0.127,-4.537,0.0349,76.131,0.389,4
Angel Eyes,0.0134,0.656,0.696,0.0,0.0753,-5.917,0.0261,108.015,0.966,4
"Easy Come, Easy Go",0.602,0.798,0.472,0.00557,0.0781,-10.726,0.0288,106.671,0.74,4
The Woman with You,0.0672,0.55,0.664,4.31e-05,0.114,-7.161,0.0348,139.933,0.273,4
Joe's Place,0.664,0.843,0.719,0.0,0.091,-6.141,0.0324,116.065,0.855,4
Where I'm From,0.0301,0.532,0.815,0.0,0.0721,-5.834,0.0392,149.728,0.546,4
Can't Get Away from a Good Time,0.147,0.433,0.908,0.0,0.412,-3.834,0.061,169.927,0.75,4
This Bar,0.115,0.545,0.884,0.000424,0.0496,-5.208,0.0817,110.015,0.272,4
Happy Does,0.3,0.715,0.665,0.0,0.123,-5.486,0.0383,109.018,0.597,4
Love Your Love The Most,0.194,0.333,0.524,0.0,0.124,-6.788,0.0301,73.393,0.438,4
Me My Bottle And Nothing But Time,0.0107,0.366,0.977,0.0232,0.269,-2.562,0.103,103.272,0.506,4
Me and My Kind,0.0835,0.588,0.807,0.0,0.109,-3.426,0.0283,110.014,0.674,4
Over When It's Over,0.0296,0.564,0.531,0.0,0.107,-5.88,0.0359,138.406,0.842,4
A Little Bit Trouble,0.113,0.671,0.54,0.0783,0.128,-9.488,0.0302,83.994,0.788,4
Jesus And Wranglers,0.00805,0.579,0.754,0.0,0.0803,-5.249,0.0261,124.036,0.734,4
Still Out There Running,0.728,0.728,0.436,0.000169,0.146,-11.568,0.0362,108.017,0.378,4
Atlantic City,0.466,0.648,0.525,1.5e-06,0.165,-9.213,0.0241,98.131,0.724,4
Young Man's Blues,0.0139,0.549,0.869,0.0,0.334,-4.817,0.0546,114.0,0.502,4
Like A Cowboy,0.611,0.486,0.443,2.46e-06,0.0981,-6.791,0.034,125.159,0.215,3
Porch Swing Angel,0.895,0.518,0.411,0.0,0.0911,-7.896,0.0307,136.147,0.187,4
Rolling Stone,0.000458,0.416,0.848,0.00144,0.0831,-5.19,0.0346,179.004,0.721,4
Without You,0.307,0.522,0.659,0.0,0.102,-6.016,0.0304,141.996,0.355,4
All Your Life,0.227,0.536,0.521,0.0,0.165,-5.373,0.0261,131.937,0.455,4
Starting Over,0.452,0.638,0.538,0.000415,0.0695,-8.445,0.0315,89.124,0.318,4
Bury Me In Dixie,0.324,0.686,0.248,0.0,0.0859,-9.026,0.0392,83.485,0.594,4
One Of Those Nights,0.0114,0.525,0.776,0.0,0.117,-5.598,0.0321,127.046,0.413,4
So Much Like My Dad,0.579,0.569,0.337,0.00198,0.145,-12.658,0.027,131.594,0.316,4
Behind The Times,0.014,0.493,0.547,1.4e-05,0.095,-6.836,0.0257,78.977,0.342,4
Stone,0.243,0.438,0.477,7.8e-06,0.183,-7.649,0.031,137.645,0.176,4
Bar Downtown,0.114,0.635,0.676,0.0,0.0831,-4.971,0.0432,131.982,0.665,4
Beer Light,0.517,0.684,0.62,0.0,0.291,-7.127,0.0248,104.026,0.68,4
Happy Anywhere (feat. Gwen Stefani),0.1,0.538,0.745,0.0,0.063,-5.774,0.0387,165.755,0.669,4
Feathered Indians,0.75,0.536,0.574,0.00277,0.105,-6.705,0.0254,87.194,0.877,4
If the World Had a Front Porch,0.125,0.466,0.794,0.0,0.069,-4.202,0.0326,163.958,0.592,3
Baseball on the Moon,0.338,0.49,0.487,8.29e-06,0.194,-9.425,0.0316,145.186,0.314,4
Forever After All,0.191,0.487,0.65,0.0,0.0933,-5.195,0.0253,151.964,0.456,4
Change My Mind,0.00927,0.587,0.876,4.29e-06,0.333,-5.627,0.0347,115.013,0.765,4
Pretty Heart,0.00531,0.562,0.683,0.0,0.107,-4.427,0.0296,132.003,0.385,4
I Got A Car,0.332,0.602,0.631,0.0,0.12,-7.371,0.033,138.389,0.472,4
She Don't Love You,0.335,0.36,0.333,1.09e-06,0.114,-8.491,0.0285,74.53,0.17,1
Make Her Fall In Love With Me Song,0.382,0.666,0.843,0.0,0.32,-5.01,0.0323,121.244,0.962,4
Pretty Good At Drinkin' Beer,0.427,0.769,0.678,8.04e-06,0.0939,-3.725,0.0315,106.951,0.581,4
I'm Not Alright,0.183,0.58,0.719,0.0,0.161,-6.688,0.0349,161.922,0.76,4
Dance or Drink,0.438,0.59,0.574,0.0,0.136,-6.275,0.0273,138.044,0.483,4
Steady as She Goes,0.0616,0.589,0.745,0.0,0.33,-6.052,0.0289,111.078,0.742,4
Where Rainbows Never Die,0.921,0.603,0.341,0.00314,0.102,-8.892,0.0264,113.452,0.365,4
Can You Run,0.694,0.406,0.638,3.27e-05,0.194,-5.534,0.0352,196.077,0.483,4
Wildfire,0.692,0.648,0.352,0.266,0.106,-10.11,0.0278,121.459,0.173,4
Virginia,0.187,0.523,0.476,0.00117,0.133,-6.47,0.0274,129.95,0.157,4
Diamonds & Gasoline,0.67,0.473,0.423,0.0,0.149,-9.065,0.0294,170.035,0.458,4
Take Me To The Bottom,0.209,0.618,0.548,1.71e-05,0.448,-6.551,0.0303,139.92,0.445,4
If It Hadn't Been For Love,0.695,0.49,0.445,1.16e-05,0.106,-7.19,0.0469,159.318,0.54,4
Livin’ The Dream,0.575,0.621,0.754,0.00484,0.213,-5.904,0.0269,127.036,0.441,4
Stand Alone,0.312,0.458,0.545,2.76e-06,0.119,-6.248,0.0285,147.939,0.177,4
Sleep When We're Dead,0.0165,0.564,0.822,2.71e-06,0.377,-3.685,0.0329,149.988,0.695,4
Spin You Around,0.00147,0.517,0.877,0.0,0.208,-3.621,0.0297,150.004,0.616,4
The Best Day,0.712,0.644,0.452,0.0,0.337,-6.676,0.0304,132.333,0.318,4
You're Gonna Love Me,0.00313,0.464,0.692,0.0,0.0931,-5.483,0.0282,144.076,0.274,4
Me Neither,0.0271,0.622,0.942,2.36e-05,0.326,-9.469,0.0385,117.173,0.844,4
Little Rain,0.184,0.491,0.835,0.0,0.119,-4.272,0.0464,185.956,0.711,4
Traveller,0.0682,0.543,0.75,0.0166,0.125,-7.071,0.0282,88.107,0.758,4
Fool Hearted Memory,0.317,0.567,0.57,0.0,0.205,-9.926,0.0295,88.851,0.645,4
I Love This Bar,0.024,0.608,0.825,0.00656,0.346,-6.303,0.0419,115.049,0.454,4
These Days,0.31,0.587,0.778,0.0,0.318,-4.233,0.0343,81.943,0.319,4
Then Again,0.495,0.551,0.535,0.0,0.134,-6.614,0.0257,145.886,0.346,4
I Called Mama,0.571,0.499,0.619,4.82e-06,0.148,-7.054,0.0339,86.185,0.514,4
All Around You,0.614,0.663,0.628,0.578,0.355,-8.824,0.0293,97.305,0.433,3
Cold Beer With Your Name On It,0.0637,0.588,0.679,0.0,0.0735,-4.46,0.0276,152.938,0.564,4
Turtles All the Way Down,0.306,0.553,0.314,0.000578,0.104,-9.217,0.0396,91.7,0.585,4
Southern Voice,0.0446,0.63,0.877,0.0,0.113,-4.106,0.0321,112.051,0.758,4
Doing Life With Me,0.73,0.646,0.598,5.87e-06,0.118,-10.293,0.0425,80.993,0.606,4
Three Year Old,0.735,0.725,0.321,0.00105,0.0987,-14.517,0.055,76.968,0.576,4
Skin (Sarabeth),0.483,0.484,0.299,0.000121,0.145,-9.903,0.0286,139.87,0.232,3
You Should Probably Leave,0.268,0.602,0.477,3.1e-05,0.173,-8.425,0.032,183.89,0.552,4
Bettin' Man,0.0274,0.609,0.638,0.0,0.104,-4.612,0.0295,140.017,0.795,4
Maggie's Song,0.403,0.673,0.481,0.000526,0.192,-8.743,0.0436,133.106,0.475,4
Silverado For Sale,0.165,0.591,0.778,0.0,0.115,-5.927,0.0292,137.956,0.386,4
Sand In My Boots,0.59,0.403,0.537,0.0,0.112,-6.628,0.031,69.877,0.414,4
Need A Boat,0.0998,0.54,0.896,0.0,0.267,-6.286,0.0333,160.034,0.963,4
Whiskey’d My Way,0.603,0.443,0.518,0.00225,0.0984,-6.373,0.0266,185.764,0.323,3
The Great Divide,0.597,0.671,0.686,2.24e-06,0.283,-8.269,0.0271,111.007,0.547,4
Your Bartender,0.247,0.555,0.771,7.26e-05,0.149,-5.237,0.0282,139.971,0.442,4
Somebody’s Problem,0.657,0.658,0.538,0.0,0.123,-7.676,0.0289,136.967,0.62,4
Beers And Sunshine,0.134,0.57,0.645,0.0,0.147,-5.816,0.0304,81.084,0.677,4
Bandaid On A Bullet Hole - Bonus,0.794,0.543,0.48,0.0,0.119,-6.745,0.0301,154.78,0.391,3
This Side Of A Dust Cloud - Bonus,0.139,0.645,0.734,0.000833,0.159,-5.892,0.0266,133.989,0.797,4
Man Like Me,0.0263,0.492,0.809,0.0,0.458,-4.4,0.0365,160.136,0.421,4
Ticks,0.0312,0.623,0.79,3.77e-05,0.106,-6.316,0.0283,94.433,0.718,4
Single Saturday Night,0.118,0.623,0.79,0.0,0.226,-5.07,0.0473,81.949,0.694,4
Whiskey And Rain,0.508,0.653,0.623,3.32e-06,0.285,-4.56,0.0244,100.021,0.718,4
The Devil Went Down to Georgia,0.155,0.523,0.626,0.0,0.0869,-9.425,0.0523,134.127,0.917,4
Talkin' Tennessee,0.568,0.702,0.711,0.0,0.104,-6.697,0.0248,99.988,0.498,4
Summertime,0.169,0.48,0.928,0.0,0.0479,-5.501,0.0899,167.986,0.713,4
UNAPOLOGETICALLY COUNTRY AS HELL,0.172,0.543,0.648,0.0,0.329,-4.961,0.0311,124.053,0.617,3
Maybe It's Time,0.798,0.699,0.282,1.23e-06,0.0981,-7.65,0.0374,79.776,0.359,4
He Loved Her,0.013,0.526,0.755,0.0,0.331,-5.242,0.054,174.031,0.759,4
Asking For A Friend,0.238,0.713,0.527,7.49e-06,0.111,-7.512,0.0329,123.006,0.445,4
She Ain’t Mine No More,0.0411,0.606,0.795,0.0,0.0892,-5.03,0.0284,109.069,0.599,4
Right About Me,0.0358,0.628,0.895,0.0,0.35,-4.082,0.0306,101.043,0.553,4
Joy Of My Life,0.223,0.63,0.485,0.0535,0.103,-8.955,0.0299,149.23,0.398,4
Where Corn Don’t Grow,0.00839,0.622,0.566,0.00169,0.0973,-8.185,0.0264,102.017,0.269,4
Where Corn Don't Grow,0.463,0.621,0.576,0.0126,0.181,-10.989,0.0328,98.835,0.701,4
Undivided,0.131,0.583,0.812,0.0,0.201,-4.684,0.0299,89.992,0.408,4
Hell Of A View,0.119,0.689,0.582,0.00464,0.101,-6.778,0.0236,99.021,0.883,4
"Bartenders, etc...",0.0232,0.583,0.838,4.1e-06,0.155,-6.963,0.0369,81.454,0.834,4
Joe Bought a Bar,0.146,0.516,0.914,0.0,0.213,-4.51,0.109,146.101,0.485,4
Is Anybody Loving You These Days,0.0661,0.699,0.573,4.52e-06,0.229,-8.773,0.0276,119.908,0.618,4
Country Folks - Livin' Loud,0.23,0.527,0.841,0.0,0.0912,-2.854,0.0505,79.927,0.762,4
"Wine, Beer, Whiskey",0.617,0.727,0.914,0.0,0.596,-5.85,0.0743,106.021,0.784,4
Home Run,0.0435,0.6,0.745,0.0,0.362,-5.677,0.0315,104.023,0.424,4
Lonely One,0.131,0.495,0.628,6.77e-06,0.104,-5.288,0.029,144.944,0.414,4
